tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
gradation,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
mason,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
encourage,0.000126409465541,1.75682085698e-05,0.000210682442568,1.75682085698e-05,5.8991083919e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05
adapt,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
outburst,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
stamping,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,1.68545954054e-05,1.75682085698e-05
sheer,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05
estimate,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
leela,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
syr,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05
disturbed,4.21364885136e-05,1.75682085698e-05,4.21364885136e-05,1.75682085698e-05,0.000151691358649,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
mendacity,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
lightened,8.42729770272e-06,1.75682085698e-05,2.52818931082e-05,3.51364171395e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
curiouser,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
disfigured,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
seizures,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
masted,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
service,0.000101127572433,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,0.00046350137365,1.75682085698e-05,7.58456793245e-05,1.75682085698e-05
reuben,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
needed,0.00182872360149,5.27046257093e-05,0.000539347052974,1.75682085698e-05,1.68545954054e-05,3.51364171395e-05,0.000202255144865,3.51364171395e-05
master,6.74183816217e-05,7.02728342791e-05,2.52818931082e-05,3.51364171395e-05,5.05637862163e-05,1.75682085698e-05,9.27002747299e-05,1.75682085698e-05
genesis,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
rewards,1.68545954054e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
integrally,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
mutilated,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
ahmed,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
saeed,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
idly,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05
idle,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,3.51364171395e-05,1.68545954054e-05,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
exclaimed,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,3.51364171395e-05
sheen,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
feeling,2.52818931082e-05,5.27046257093e-05,3.37091908109e-05,5.27046257093e-05,4.21364885136e-05,8.78410428489e-05,3.37091908109e-05,0.000158113877128
sacheverall,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05
spectrum,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,1.68545954054e-05,1.75682085698e-05
arousal,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
dozen,0.000109554870135,0.000491909839954,2.52818931082e-05,1.75682085698e-05,4.21364885136e-05,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05
affairs,3.37091908109e-05,1.75682085698e-05,1.68545954054e-05,3.51364171395e-05,8.42729770272e-06,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
courier,1.68545954054e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05,2.52818931082e-05,1.75682085698e-05,8.42729770272e-06,1.75682085698e-05
