tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
lindsay,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
operations,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
restriction,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
devote,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
defenders,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
over,2.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0
fall,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
vary,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
reached,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
london,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
rowdies,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
before,4.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0
somewhere,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0
blackened,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
crew,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
better,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
imp,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
entranced,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
carruthers,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
precipitate,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
hidden,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
carton,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
easier,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
descend,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
then,13.0,3.0,7.0,6.0,6.0,2.0,5.0,7.0
them,11.0,4.0,21.0,5.0,1.0,1.0,6.0,4.0
rachel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
affected,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prevented,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
slate,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
grand,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
inflamed,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
disturb,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
trail,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
withdrawal,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
they,17.0,15.0,3.0,1.0,9.0,13.0,16.0,13.0
one,17.0,8.0,11.0,2.0,2.0,3.0,4.0,1.0
bread,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
niches,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
represents,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
demotion,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
rocky,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
regularly,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
l,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
pleasantries,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
dumps,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tynsham,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
good,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0
improvements,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
luca,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
each,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0
hadn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
went,21.0,7.0,40.0,6.0,2.0,1.0,5.0,9.0
side,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
carlos,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
prohibit,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lifted,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
schemes,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
financial,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
romulans,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
joined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
vote,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
used,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
afield,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0
magazine,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
dawn,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
extract,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
message,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
misfortune,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
